               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 136,            0.015586,            0.010028,           0.0067017,             0.84837,             0.78021,             0.87291,             0.66996,            0.013647,           0.0037396,            0.012836,           0.0033175,           0.0033175,           0.0033175
                 137,            0.017485,            0.010103,           0.0067054,             0.77824,             0.73204,              0.8137,             0.62715,            0.014161,           0.0037886,            0.016084,            0.003268,            0.003268,            0.003268
                 138,            0.015361,           0.0098768,           0.0052571,             0.77852,              0.8311,             0.85092,             0.65268,            0.013902,           0.0038353,             0.01551,           0.0032185,           0.0032185,           0.0032185
                 139,            0.015116,           0.0099412,           0.0057954,              0.8028,             0.80545,             0.86329,             0.65397,            0.013486,           0.0038659,            0.015744,            0.003169,            0.003169,            0.003169
                 140,            0.015556,            0.010126,           0.0052224,             0.69639,             0.81018,             0.82472,             0.61986,            0.013606,           0.0039255,            0.015605,           0.0031195,           0.0031195,           0.0031195
                 141,             0.01557,            0.010005,           0.0051361,             0.75812,             0.79737,              0.8345,             0.63751,            0.013853,           0.0038659,            0.014787,             0.00307,             0.00307,             0.00307
                 142,            0.016395,             0.01023,           0.0065866,             0.75056,             0.80054,             0.82936,             0.64126,            0.013682,           0.0038367,            0.015388,           0.0030205,           0.0030205,           0.0030205
                 143,            0.014695,           0.0098598,           0.0049907,             0.73027,             0.82257,             0.83103,             0.63951,            0.014151,           0.0037606,            0.018181,            0.002971,            0.002971,            0.002971
                 144,            0.016126,            0.010033,           0.0051756,             0.75747,             0.76008,             0.80665,             0.61898,            0.013594,           0.0037806,            0.020169,           0.0029215,           0.0029215,           0.0029215
                 145,            0.016057,            0.010152,           0.0042985,             0.73348,             0.81976,             0.83895,             0.65363,            0.013777,           0.0037881,            0.017199,            0.002872,            0.002872,            0.002872
                 146,            0.014509,           0.0098194,           0.0054206,             0.76122,              0.7877,             0.82893,              0.6403,            0.013308,           0.0037255,            0.014701,           0.0028225,           0.0028225,           0.0028225
                 147,            0.015233,           0.0099653,           0.0045828,             0.72941,             0.80887,             0.80769,             0.62247,            0.013353,           0.0037305,            0.015126,            0.002773,            0.002773,            0.002773
                 148,            0.016652,           0.0099997,           0.0054435,             0.76134,             0.78381,             0.80251,             0.61587,            0.013585,             0.00376,            0.018075,           0.0027235,           0.0027235,           0.0027235
                 149,             0.01517,             0.00978,           0.0053607,             0.78134,             0.77927,             0.84221,             0.64548,            0.013901,           0.0037869,            0.017635,            0.002674,            0.002674,            0.002674
                 150,             0.01647,           0.0099609,           0.0057119,             0.77182,             0.75776,             0.81184,             0.62638,            0.013831,           0.0037203,            0.017016,           0.0026245,           0.0026245,           0.0026245
                 151,            0.015296,           0.0099658,           0.0050258,             0.81736,             0.78035,             0.85966,             0.65735,            0.013633,           0.0036994,            0.018666,            0.002575,            0.002575,            0.002575
                 152,            0.016327,            0.010002,           0.0054213,             0.77729,             0.77553,             0.82736,             0.63714,            0.013522,           0.0037446,            0.016032,           0.0025255,           0.0025255,           0.0025255
                 153,            0.014819,           0.0097689,           0.0053084,             0.76659,             0.75804,             0.80758,             0.62457,            0.014157,             0.00377,            0.019375,            0.002476,            0.002476,            0.002476
                 154,            0.014947,            0.010106,           0.0050198,             0.73686,             0.79393,             0.79427,             0.61189,            0.013672,           0.0037573,            0.017476,           0.0024265,           0.0024265,           0.0024265
                 155,            0.015068,           0.0098498,           0.0042454,             0.76669,             0.76823,             0.82348,             0.63476,            0.013582,           0.0037569,            0.015014,            0.002377,            0.002377,            0.002377
                 156,            0.016567,           0.0098425,           0.0051437,             0.71229,              0.8668,             0.81761,             0.63262,            0.013915,           0.0037329,            0.015748,           0.0023275,           0.0023275,           0.0023275
